,manufacturer,sku,quantity,price
407,Falmec,CLTI80.E0P2#NRSN451F,1,78000
408,Falmec,CLUI75.E0P2#NEUI490F,1,57000
409,Falmec,CEUI90.E10P2#ZZZI491F,2,40900
410,Falmec,CEUT90.E10#I4F,2,21000
411,Falmec,CGIW50.E10P6#ZZZN491F,4,23599
412,Falmec,CLUI75.E1P2#NEUI490F,1,57000
413,Falmec,CLUI75.E4P2#NEUI490F,2,69000
414,Falmec,CLUI75.E5P2#NEUI490F,2,69000
415,Falmec,CVJN20.E16P2#ZZZ3490F,2,30900
416,Falmec,CVJN60.E16P2#ZZZ3490F,1,28990
417,Falmec,CVJN90.E16P2#ZZZ3490F,1,31000
418,Falmec,CBIN50.E10#ZZZB460F,5,11000
419,Falmec,CBIN70.E10#ZZZ3460F,5,11000
420,Falmec,KACL.961,1,2500
421,Falmec,CBIN70.E10#ZZZB460F,3,11500
422,Falmec,CCFN85.E0P2#ZZZ9460F,1,33200
423,Falmec,CPLN90.E21P2#ZZZI490F,1,36900
424,Falmec,CBIN70.E9P2#ZZZN460F,8,14990
425,Falmec,CBRW90.00P8#ZZZN490F,1,115000
426,Falmec,CUZQ90.06P8#ZZZN461F,1,92000
427,Falmec,CUZQ90.05P8#ZZZN460F,2,89000
428,Falmec,P01F5851.00#ZZZN400F,1,33000
429,Falmec,P01F7851.00#ZZZN400F,1,37000
430,Falmec,P01F8840.00#ZZZN400F,1,45000
431,Falmec,P01F9051.00#ZZZN400F,1,50000
432,Vestel,W6S10T2,10+,12999
433,Vestel,W6S10T2T,10+,13499
434,Vestel,W6S10T2TDS,10+,12899
435,Vestel,W8B12T2TDS,10+,16699
436,Vestel,WD814T2,10+,23999
437,Vestel,AOX-6024C,10+,7199
438,Vestel,AOX-6024,10+,5699
439,Vestel,AOB-6024,10+,4999
440,Vestel,AOB-6024C,10+,6399
441,Vestel,AOB-6124,2,7499
442,Vestel,AFX-6684,10+,8999
443,Vestel,AFB-6684,1,9699
444,Vestel,AFB-5642,10+,7999
445,Vestel,AFX-5642,10+,7799
446,Vestel,AFB-8786,10+,13799
447,Vestel,AFX-8786,10+,13299
448,Vestel,DF5612,10+,11999
449,Vestel,DF5613,10+,12999
450,Vestel,DF5632,10+,12499
451,Vestel,DF5633,10+,13499
452,Vestel,BH-3330B,10+,5499
453,Vestel,TE50A20,10+,5399
454,Vestel,TE80A20,10+,5999
455,Vestel,TE50D20,10+,5799
456,Vestel,TE80D20,10+,6399
457,Vestel,TE100D20,10+,6999
458,Vestel,TR50D20,10+,6999
459,Vestel,TR80D20,10+,7499
460,Vestel,TR100D20,10+,8399
461,Vestel,W4S10T1,6,11299
462,Vestel,W5S10T1,1,11599
463,Vestel,WBI812T2,10+,17999
464,Vestel,RF390BI3M-W,10+,17999
465,Vestel,RF380BI3EI-W,10+,21699
466,Nivona,NICR 970,2,57999
467,Nivona,NICR 960,2,55999
468,Nivona,NICR 825,1,41999
469,Nivona,NICR 820,10+,37999
470,Nivona,NICR 930,10+,46999
471,Nivona,NICR 790,10+,30999
472,Nivona,NICR 796,4,33999
473,Nivona,NICR 799,4,36999
474,Nivona,NIML 220,9,899
475,Nivona,NICR 550,10+,22999
476,Nivona,NICR 560,3,22999
477,Nivona,NICR 690,1,25999
478,Nivona,NIRK 703,10+,439
479,Nivona,NIRT 701,10+,439
480,Siemens,BE732L1B1,0,38599
481,Siemens,BE732R1B1,2,38599
